SMILES,KELAS,C,O,B,N,P,S,F,Cl,Br,Z,@,I,COC,=,[O-],C=C,N+,C=O,:,.,-,+,[],(),#
OP(=O)(O)O,1,0,40,0,0,10,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,20,0
C=CC(=O)O,1,11,22,0,0,0,0,0,0,0,0,0,0,0,11,0,11,0,0,0,0,0,0,0,11,0
C1=CC(=CC=C1NC(=NC(=NCCCCCCN=C(N)N=C(N)NC2=CC=C(C=C2)Cl)N)N)Cl,1,29,0,0,16,0,0,0,3,0,9,0,0,0,11,0,4,0,0,0,0,0,0,0,9,0
CC(=C)C(=O)OC,1,38,15,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,15,0
CCCCCCCCCCCCCCCC[N+]1=CC=CC=C1.[Cl-],1,50,0,0,2,0,0,0,2,0,8,0,0,0,2,0,5,2,0,0,2,2,2,0,0,0
Cl[Zn]Cl,1,25,0,0,0,0,0,0,25,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[Fe],1,0,0,0,0,0,0,25,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[F-].[Na+],1,0,0,0,10,0,0,10,0,0,10,0,0,0,0,0,0,0,0,0,10,10,10,0,0,0
CC1(C2CCC(O1)(CC2)C)C,1,47,4,0,0,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0
C(COCCOCCO)O,1,16,16,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,8,0
O=[Ca],1,16,16,0,0,0,0,0,0,0,16,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0
C=CN1CCCC1=O,1,33,8,0,8,0,0,0,0,0,16,0,0,0,8,0,8,0,0,0,0,0,0,0,0,0
C(C1C(C(C(C(O1)OC2C(OC(C(C2O)O)O)CO)O)O)O)O,1,27,25,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0
CCCCCCCCCC1=CC=C(C=C1)OCCO,1,50,7,0,0,0,0,0,0,0,7,0,0,0,3,0,7,0,0,0,0,0,0,0,3,0
CCOC(=O)C(=C)C#N,1,25,6,0,6,0,0,0,0,0,0,0,0,6,12,0,0,0,0,0,0,0,0,0,12,6
[F-],1,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0
[O-]S(=O)(=O)[O-].[Ca+2],1,4,16,0,0,0,4,0,0,0,8,0,0,0,8,0,0,0,0,0,4,8,4,0,8,0
C[Si](C)(C)O[Si](C)(C)O[Si](C)(C)C,1,23,5,0,0,0,8,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0
O=[Ti]=O,1,0,25,0,0,0,0,0,0,0,25,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0
OP(=O)(O)[O-].[K+],1,0,22,0,0,5,0,0,0,0,5,0,0,0,5,0,0,0,0,0,5,5,5,0,11,0
COC(=O)C(=C)C#N,1,20,6,0,6,0,0,0,0,0,0,0,0,6,13,0,0,0,0,0,0,0,0,0,13,6
CCCCCCCCCCCCCCCCCC(=O)OCCO,1,76,11,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0
COC(=O)NC1C(C(C(OC1OC2C(OC(C(C2O)N)OC3C(OC(C(C3O)N)O)CO)CO)CO)OC4C(C(C(C(O4)CO)OC5C(C(C(C(O5)CO)OC6C(C(C(C(O6)CO)OC7C(C(C(C(O7)CO)OC8C(C(C(C(O8)CO)OC9C(C(C(C(O9)CO)O)O)N)O)N)O)N)O)N)O)N)O)N)O,1,28,19,0,4,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0
