SMILES,KELAS
OP(=O)(O)O,1
C=CC(=O)O,1
C1=CC(=CC=C1NC(=NC(=NCCCCCCN=C(N)N=C(N)NC2=CC=C(C=C2)Cl)N)N)Cl,1
CC(=C)C(=O)OC,1
CCCCCCCCCCCCCCCC[N+]1=CC=CC=C1.[Cl-],1
Cl[Zn]Cl,1
[Fe],1
[F-].[Na+],1
CC1(C2CCC(O1)(CC2)C)C,1
C(COCCOCCO)O,1
O=[Ca],1
C=CN1CCCC1=O,1
C(C1C(C(C(C(O1)OC2C(OC(C(C2O)O)O)CO)O)O)O)O,1
CCCCCCCCCC1=CC=C(C=C1)OCCO,1
CCOC(=O)C(=C)C#N,1
[F-],1
[O-]S(=O)(=O)[O-].[Ca+2],1
C[Si](C)(C)O[Si](C)(C)O[Si](C)(C)C,1
O=[Ti]=O,1
OP(=O)(O)[O-].[K+],1
COC(=O)C(=C)C#N,1
CCCCCCCCCCCCCCCCCC(=O)OCCO,1
COC(=O)NC1C(C(C(OC1OC2C(OC(C(C2O)N)OC3C(OC(C(C3O)N)O)CO)CO)CO)OC4C(C(C(C(O4)CO)OC5C(C(C(C(O5)CO)OC6C(C(C(C(O6)CO)OC7C(C(C(C(O7)CO)OC8C(C(C(C(O8)CO)OC9C(C(C(C(O9)CO)O)O)N)O)N)O)N)O)N)O)N)O)N)O,1
C1=CC(=CC=C1NC(=NC(=NCCCCCCN=C(N)N=C(N)NC2=CC=C(C=C2)Cl)N)N)Cl.Cl.Cl,1
C(C(C(C(C(C=O)O)O)O)O)O.C(C(C(C(C(=O)CO)O)O)O)O,1
CC1=CSC=C1,1
C(COCCOCCOCCO)O,1
CC(C)COC(=O)C(=C)C,1
C[Si]1(O[Si](O[Si](O[Si](O1)(C)C)(C)C)(C)C)C,1
C[Si]1(O[Si](O[Si](O[Si](O[Si](O1)(C)C)(C)C)(C)C)(C)C)C,1
[O-]P(=O)([O-])F.[Na+].[Na+],1
CC(=C)C(=O)OCCC[Si](OC)(OC)OC,1
[O-]P1(=O)OP(=O)(OP(=O)(O1)[O-])[O-].[Na+].[Na+].[Na+],1
F[Sn]F,1
CC(=C)C(=O)OCCOCCOCCOC(=O)C(=C)C,1
CCOCCOCCOCCO,1
CC(=O)O.CC(=O)O.C1=CC(=CC=C1NC(=NC(=NCCCCCCN=C(N)N=C(N)NC2=CC=C(C=C2)Cl)N)N)Cl,1
OP(=O)([O-])[O-].[K+].[K+],1
F[Al-3](F)(F)(F)(F)F.[Na+].[Na+].[Na+],1
CC1=CC(=C(C=C1)C(=O)C(=C)CN(C)C)C,1
C[Si](C)(C)O[Si](C)(C)C,1
C=CC(=O)[O-].[Na+],1
C1CCC2C(C1)C(=O)OC2=O,1
COCCOCCOCCOCCOCCOCCOCCOC1CCC2(C3CC4=C5C2(C1OC5=C(C=C4)O)CCN3CC=C)O,1
[O-]P(=O)([O-])[O-].[O-]P(=O)([O-])[O-].[Zn+2].[Zn+2].[Zn+2],1
[O-]P(=O)([O-])[O-].[K+].[K+].[K+],1
CCCCCCCCCC1=CC=C(C=C1)OCCOCCOCCOCCOCCOCCOCCOCCOCCO,1
CCCCCCCCCCCC(=O)OCC(CO)O,1
[C-]#[Si+],1
CO[Si](C)(C)O[Si](C)(C)C.O=[Si]=O,1
CC(C)(C)CC(C)(C)C1=CC=C(C=C1)OCCO,1
CC1CO1.C1CO1,1
C(C1C(C(C(C(O1)OCC(C(C(C(CO)O)O)O)O)O)O)O)O,1
